INDEX,cluster,type_category,avg_rating
0,0.0,,4.281120331950210
1,0.0,Automotive,4.65
2,0.0,Education,4.766666666666670
3,0.0,Finance,4.4
4,0.0,Food_Beverage,4.185714285714290
5,0.0,Professional_serv,4.300000000000000
6,0.0,Real_Estate,4.3025157232704400
7,0.0,Retail_Shopping,4.314285714285710
8,0.0,Tourism,4.416
9,1.0,,4.6
10,2.0,,4.800000000000000
11,3.0,,4.08
12,4.0,,4.4
13,5.0,,4.7
14,6.0,,5.0
15,7.0,,4.550000000000000
16,8.0,,3.5
17,9.0,,3.7
18,10.0,,4.425
19,10.0,Retail_Shopping,4.6000000000000000
20,11.0,,3.7
21,12.0,,4.5
22,13.0,,4.114285714285720
23,13.0,Food_Beverage,4.1
24,14.0,,4.6000000000000000
25,15.0,,4.5
26,16.0,,4.7
27,17.0,,4.65
28,18.0,,5.0
29,19.0,,4.2
30,19.0,Real_Estate,5.0
31,20.0,,4.633333333333330
32,21.0,,4.6571428571428600
33,21.0,Tourism,5.0
34,22.0,,5.0
35,23.0,,5.0
36,24.0,,4.16
37,24.0,Retail_Shopping,4.2
38,25.0,,4.7
39,26.0,,4.4
40,27.0,,3.7
41,28.0,,4.166666666666670
42,28.0,Retail_Shopping,4.4
43,29.0,,3.75
44,30.0,Food_Beverage,4.2
45,30.0,Retail_Shopping,4.3
46,31.0,,4.3
47,32.0,,4.1
48,33.0,Real_Estate,4.2
49,34.0,,5.0
50,35.0,,4.7
51,36.0,,4.4
52,37.0,,4.633333333333330
53,37.0,Retail_Shopping,4.4
54,38.0,,4.75
55,39.0,,4.8
56,40.0,,4.466666666666670
57,41.0,,4.525
58,42.0,,4.4
59,43.0,,4.8
60,44.0,,4.3
61,45.0,,4.55
62,46.0,,4.4
63,47.0,,4.0
64,48.0,,4.550000000000000
65,49.0,,4.9
66,50.0,,4.9
67,51.0,,5.0
68,52.0,Automotive,4.3
69,53.0,,4.5
70,54.0,Real_Estate,5.0
71,55.0,Retail_Shopping,4.4
72,56.0,Retail_Shopping,4.4
73,57.0,,4.4
74,58.0,,4.4
75,59.0,,5.0
